Group 1,Group 2,H,p-value,q-value
Central (n=23),Coastal (n=42),2.7556935817805197,0.09690878220132522,0.29072634660397567
Central (n=23),Western (n=17),0.8909612625538159,0.34521694778106127,0.517825421671592
Coastal (n=42),Western (n=17),0.013725490196065948,0.9067365626318304,0.9067365626318304
